claim,cleaned_claim,source_label,normalized_label,source_category
الشركة المالكة للعبة ببجي (PUBG) أعلنت يوم 26 فبراير/شباط الفائت أن اللعبة ستُحذف بعد 24 ساعة، بسبب نجاح دعوى قضائية ضدها من 36 دولة في العالم.,شرك مالك لعب بج  أعلن يوم ستة وعشرون برايرشباط آيت لعب حذف أربعة وعشرون ساعي نجاح دعو قضايي ضد ستة وثلاثون دولة عالم, زائف ,False,ترفيه
"تصريح لمبابي يقول فيه ""أريد أن أصبح مثل رونالدو لأنه من المستحيل أن أصبح مثل ميسي"".",تصريح مباب قال أريد أصبح رونالدو ان مستحيل أصبح ميس, مضلل ,Partly-false,رياضة
وفاة الفنان يوسف شعبان,فا فنان يوسف شعبان,correct,True,اجتماعي
إضاءة شلالات نياغارا في كندا بألوان العلم الكويتي بمناسبة الذكرى الـ 60 للعيد الوطني.,اضاء شلال نياغارا ند ألوان علم كويت مناسب ذكر ال ستون عيد وطن, مضلل ,Partly-false,أخبار
صورة لأصغر زوجين في الجزائر، تحديدًا من بلدة تسابيت في ولاية أدرار، الولد من مواليد 2003 والبنت من مواليد 2005.,صورة أصغر زوج جزاير تحديد لد تسابيت لاي ادرار ولد مولود ألفان وثلاثة بنت مولود ألفان وخمسة, مضلل ,Partly-false,أخبار
ترامب يرفع علم الثورة الأمريكية لعام ١٧٧٦ بدلا من العلم الأمريكي فوق البيت الأبيض.,ترامب رفع ثور امريكي عام ألف وسبعمئة وستة وسبعون دل علم امر بيت ابيض,misleading-title,False,اجتماعي
تركيا تعفي السوريين من تأشيرة الدخول بعد قرار من وزارة الخارجية.,تركيا أعفى سوري تاشير دخول قرار زار خارجي, زائف ,False,أخبار
بطلة أفلام هاري بوتر الممثلة البريطانية إيما واتسون تعتزل التمثيل.,طل أفلام هاري وتر ممثل بريطاني ايما اتسون اعتزل تمثيل, زائف ,False,ثقافة وفن
مقطع فيديو لأسرى حوثيين بينهم أطفال بيد الجيش الوطني خلال المعارك الأخيرة حول مأرب.,مقطع يديو أسر حوثي ين أطفال جيش وطن معركة أخير حول مارب, مضلل ,Partly-false,أخبار
صورة لطفل يدعى ماريو يونان عمره شهر، أجرى عملية زرع قلب حديثًا، في مركز دكتور مجدي يعقوب في مصر.,صورة طفل ودع ماريو يونان عمر شهر اجر عمل زرع قلب حديث مركز دكتور مجدي يعقوب مصر, مضلل ,Partly-false,أخبار
صورتان لأحمد قعول واحدة عندما كان مقاتلًا في أفغانستان والأخرى عندما كان كاتب دولة للشباب والرياضة عن حركة النهضة.,صورة أحمد قعول أحد مقاتل أفغانستان آخر اتب دولة شاب رياض حرك نهض, مضلل ,Partly-false,سياسة
صورة نافورة مياه في اليابان.,صورة نافور ميا يابان, مضلل ,Partly-false,ثقافة وفن
مقطع فيديو لقوات مكافحة الإرهاب القطرية.,مقطع يديو قوة مكافح إرهاب قطري, مضلل ,Partly-false,سياسة
الشيخ محمد حسان في ذمة الله,شيخ محمد حسن ذم ل,fake,False,اجتماعي
"""سيارة إسعاف تصطدم بشاحنة عند نقلها لمريض يحتضر، توفي كل من السائق والممرض والمرافق، والناجي الوحيد هو المريض"".",سيار إسعاف اصطدم شاحن نقل مريض احتضر وفى سايق ممرض مرفق ناجي وحيد مريض, مضلل ,Partly-false,أخبار
وثيقة صادرة عن المفوضية السامية للأمم المتحدة لشؤون اللاجئين (UNHCR)، أعلنت فيها عن قرار الأمم المتحدة بفتح جميع طلبات إعادة توطين اللاجئين في اليونان، بدءًا من 24 فبراير/شباط الجاري، وحتى 4 مارس/آذار المقبل.,ثيق صادر مفوض سامي امم متحد شو لاج  أعلن قرار أمم متحد فتح طلب أعاد توط لاج يونان دءا أربعة وعشرون برايرشباط جار حت أربعة مارساذار مقبل, زائف ,False,أخبار
لم يدخل مركز قيادة الدفاع القومي في روسيا سوى السيسي ولم يتمكن حتى أقرب حلفاء روسيا من الوصول إليه.,دخل مركز قياد دفاع قوم روسيا سو سيس تمكن أقرب حليف روسيا وصول يه, زائف ,False,سياسة
عقود الزواج ما قبل عام 2009 باطلة في مصر.,عقد زواج عام ألفان وتسعة اطل مصر, زائف ,False,أخبار
صورة قمران صناعيان تابعان لوكالة ناسا يلحقان بعضهما ويقيسان المسافة بينهما، العجيب أن اسم القمرين توم وجيري.,صورة قمر صناعي تابع ال ناس يلحقان عض يقيسان مساف ين عجيب اسم قمر توم جير, مضلل ,Partly-false,علوم
‏هذا حكم مباراة أتلانتا ضد الريال عندما كان صغيرًا.,حكم مبارا أتلانتا ضد ريال صغير, زائف ,False,رياضة
"""التقطت آخر رحلة إلى المريخ، صورة حقيقية للأرض على بعد 55 مليون كيلومتر من كوكبنا، هذه البقعة المضيئة الصغيرة هي موطن البشر"".",تقط آخر رحل مريخ صورة حقيقي أرض خمسة وخمسون مليون يلومتر ب بقعة مضي صغير موطن بشر, مضلل ,Partly-false,علوم
الشيخ محمد حسان في ذمة الله.,شيخ محمد حسن ذم ل, زائف ,False,روحانيات ودين
وفاة الفنان الجزائري الكوميدي صالح أوقروت.,فا فنان جزاير كوميد صالح اوقروت, زائف ,False,ثقافة وفن
فيديو يدعي أن: لقاح كورونا موجود حتى قبل بدأ جائحة كورونا،يحتوي لقاح كورونا على روبوتات نانوية يُمكنها التناسخ ذاتيا لتغيير طبيعة جسم الإنسان الهدف من الإغلاق هو قتل كبار السن،اللقاح سيكون لتغيير الحمض النووي ،اللقاح سيحتوي على مواد مسببة للعقم,يديو ودع قاح ورو موجود بدا جايح ورونايحتو قاح ورو روبوت نانوي أمكن تناسخ ذاتي تغيير طبيع جسم إنسان هدف إغلاق قتل بار سناللقاح كان تغيير حمض نوو لقاح احتوى مادة مسبب عقم,fake,False,طبي
الطبيب الجزائري حسام ظافر من ولاية الجلفة يعالج المرضى المحتاجين مجانا,طبيب جزاير حسام ظافر لاي جلف عالج مرض محتاج مجان,misleading-title,False,اجتماعي
صورة من مظاهرات الجزائر اليوم 2021,صورة مظاهرة جزاير يوم ألفان وواحد وعشرون,misleading-title,False,اجتماعي
مكتب ترامب فلوريدا او بالاحرى مركز الحكومة الجديدة بقيادة ترامب,مكتب ترامب وريد احر مركز حكوم جديد قياد ترامب,misleading-title,False,سياسي
وهران الان الشرطة تقمع المتظاهرين,هران شرط قمع متظاهر,misleading,False,اجتماعي
"نتنياهو: أجري محادثات مع رؤساء ""فايزر"" و""موديرنا"" لإنشاء مصانع لقاحات في ""إسرائيل"".",نتنياهو اجر محادثة روساء ايزر موديرنا إنشاء مصنع قاح اسراييل, إثارة ,Partly-false,سياسة
صورة الضربة الجوية التي استهدفت الفصيل العسكري الموالي لإيران داخل قاعدة الإمام علي على الحدود السورية العراقية.,صورة ضرب جوي استهدف فصيل عسكر موالي إيران داخل قاعد امام حد سوري عراقي, مضلل ,Partly-false,أخبار
مقطع فيديو لمحافظ مأرب سلطان العرادة يعلن فيه رفع علم الجمهورية اليمنية في منطقة جبل هيلان.,مقطع يديو محافظ مارب سلطان عراد أعلن رفع جمهوري يمني منطق جبل هيلان, مضلل ,Partly-false,سياسة
وفاة الفنان يوسف شعبان.,فا فنان يوسف شعبان, زائف ,False,ثقافة وفن
صورة لوزيرة الكهرباء النرويجية.,صورة وزير كهرباء نرويجي, مضلل ,Partly-false,أخبار
فيديو متداول لوزير الصحة الصيني أثناء ممارسة الرياضة.,يديو متداول وزير صح صين أثناء ممارس روضة, مضلل ,Partly-false,رياضة
صورة من الذكرى الثانية لحراك 22 فبراير/شباط.,صورة ذكر ثاني حراك اثنان وعشرون برايرشباط, مضلل ,Partly-false,أخبار
صورة خريطة نتجت عن متابعة عقاب لمدة 20 سنة باستخدام جهاز ملاحة. تابعوه حتى نهاية عمره.,صورة خريط نتج متابع عقاب مد عشرون سن استخدام جهاز ملاح تابع نهاي عمر, مضلل ,Partly-false,علوم
مقطع فيديو يعرض مشاهد من جنازة الفنان الكويتي مشاري البلام.,مقطع يديو عرض مشهد جناز فنان كويت مشار لم, مضلل ,Partly-false,ثقافة وفن
فيديو يُظهر نشوب نزاع عشائري عنيف في شمال البصرة باستخدام الأسلحة الخفيفة والمتوسطة.,يديو ظهر نشوب نزاع عشاير عنيف بصر استخدام اسلح خفيف متوسط, مضلل ,Partly-false,سياسة
صورة صدام حسين معلقة على أحد المنازل في الطارمية في العراق.,صورة صدام حس معلق أحد منزل طارمي عراق, مضلل ,Partly-false,سياسة
حفل زفاف غريب من نوعه.,حفل زفاف غريب نوع, مضلل ,Partly-false,لايف ستايل
صورة الطيارة الامريكيه بدون طيار التي تم السيطرة عليها بواسطة انظمة الدفاع الجوي المصريه,صورة طيار امريكي دون طيار تم سيطر واسط انظم دفاع جو مصري,misleading-title,False,اجتماعي
لقاح كورونا يسبب عقم لدى النساء,قاح ورو سبب عقم لد نساء,fake,False,طبي
الممثل الأمريكي الشهير مورغان فريمان شرب عشق المغرب حتى النخاع,ممثل امر شهير مورغان ريمان شرب عشق مغرب نخاع,fake,False,اجتماعي
صورة دب هاجم قرية أشاوا بناحية سرسنك في محافظة دهوك شمال العراق.,صورة دب هاجم قري اشا ناحي سرسنك محافظ دهوك عراق, مضلل ,Partly-false,أخبار
ارتداء الكمامة يتسبب في زيادة مستويات ثاني أكسيد الكربون في الدم,ارتداء كمام تسبب زياد مستوى أكسيد كربون دم,fake,False,طبي
إندونيسيا تستخدم طائرات حربية من طراز إف 16 لإيقاظ المسلمين من النوم وقت السحور,إندونيسيا استخدم طاير حربي طراز اف ستة وعشرة ايقاظ مسلم نوم وقت سحور,correct,True,اجتماعي
